source,pt_PT
"<div class=""well"">|||    Edit list of Series in the box. Rules:|||    <ul>|||        <li>Each Series Prefix on a new line.</li>|||        <li>Allowed special characters are ""/"" and ""-""</li>|||        <li>|||            Optionally, set the number of digits in the series using dot (.)|||            followed by hashes (#). For example, "".####"" means that the series|||            will have four digits. Default is five digits.|||        </li>|||        <li>|||            You can also use variables in the series name by putting them|||            between (.) dots|||            <br>|||            Supported Variables:|||            <ul>|||                <li><code>.YYYY.</code> - Year in 4 digits</li>|||                <li><code>.YY.</code> - Year in 2 digits</li>|||                <li><code>.MM.</code> - Month</li>|||                <li><code>.DD.</code> - Day of month</li>|||                <li><code>.WW.</code> - Week of the year</li>|||                <li>|||                    <code>.{fieldname}.</code> - fieldname on the document e.g.|||                    <code>branch</code>|||                </li>|||                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>|||                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>|||            </ul>|||        </li>|||    </ul>|||    Examples:|||    <ul>|||        <li>INV-</li>|||        <li>INV-10-</li>|||        <li>INVK-</li>|||        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>|||    </ul>|||</div>|||<br>|||","<div class=""bem"">|||    Edite a lista de séries na caixa. Regras:|||    <ul>|||        <li>Cada prefixo de série em uma nova linha.</li>|||        <li>Os caracteres especiais permitidos são ""/"" e ""-""</li>|||        <li>|||            Opcionalmente, defina o número de dígitos na série usando ponto (.)|||            seguido por hashes (#). Por exemplo, "".####"" significa que a série|||            terá quatro dígitos. O padrão é cinco dígitos.|||        </li>|||        <li>|||            Você também pode usar variáveis ​​no nome da série colocando-as|||            entre (.) pontos|||            <br>|||            Variáveis ​​suportadas:|||            <ul>|||                <li><code>.YYYY.</code> - Ano em 4 dígitos</li>|||                <li><code>.YY.</code> - Ano em 2 dígitos</li>|||                <li><code>.MM.</code> - Mês</li>|||                <li><code>.DD.</code> - Dia do mês</li>|||                <li><code>.WW.</code> - Semana do ano</li>|||                <li>|||                    <code>.{fieldname}.</code> - nome do campo no documento, por exemplo|||                    <code>ramificação</code>|||                </li>|||                <li><code>.FY.</code> - Ano Fiscal (requer a instalação do ERPNext)</li>|||                <li><code>.ABBR.</code> - Abreviatura da empresa (requer instalação do ERPNext)</li>|||            </ul>|||        </li>|||    </ul>|||    Exemplos:|||    <ul>|||        <li>INV-</li>|||        <li>INV-10-</li>|||        <li>INVK-</li>|||        <li>INV-.YYYY.-.{filial}.-.MM.-.####</li>|||    </ul>|||</div>|||<br>|||"
"<h3>Custom CSS Help</h3>||||||<p>Notes:</p>||||||<ol>|||<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>|||<li>All values are given class <code>value</code></li>|||<li>All Section Breaks are given class <code>section-break</code></li>|||<li>All Column Breaks are given class <code>column-break</code></li>|||</ol>||||||<h4>Examples</h4>||||||<p>1. Left align integers</p>||||||<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>||||||<p>1. Add border to sections except the last section</p>||||||<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }|||.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>|||","<h3>Ajuda CSS personalizada</h3>||||||<p>Notas:</p>||||||<ol>|||<li>Todos os grupos de campos (rótulo + valor) são definidos como atributos <code>data-fieldtype</code> e <code>data-fieldname</code></li>|||<li>Todos os valores recebem classe <code>value</code></li>|||<li>Todas as quebras de seção recebem classe <code>section-break</code></li>|||<li>Todas as quebras de coluna recebem a classe <code>column-break</code></li>|||</ol>||||||<h4>Exemplos</h4>||||||<p>1. Alinhar inteiros à esquerda</p>||||||<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>||||||<p>1. Adicione borda às seções, exceto a última seção</p>||||||<pre><code>.section-break { padding: 30px 0px; borda inferior: 1px sólido #eee; }|||.section-break:last-child { padding-bottom: 0px; borda inferior: 0px;  }</code></pre>|||"
"<h3>Print Format Help</h3>|||<hr>|||<h4>Introduction</h4>|||<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>|||<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>|||<hr>|||<h4>References</h4>|||<ol>|||	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>|||	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>|||</ol>|||<hr>|||<h4>Example</h4>|||<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;|||&lt;div class=""row""&gt;|||	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;|||	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;|||&lt;/div&gt;|||&lt;div class=""row""&gt;|||	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;|||	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;|||&lt;/div&gt;|||&lt;table class=""table table-bordered""&gt;|||	&lt;tbody&gt;|||		&lt;tr&gt;|||			&lt;th&gt;Sr&lt;/th&gt;|||			&lt;th&gt;Item Name&lt;/th&gt;|||			&lt;th&gt;Description&lt;/th&gt;|||			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;|||			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;|||			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;|||		&lt;/tr&gt;|||		{%- for row in doc.items -%}|||		&lt;tr&gt;|||			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;|||			&lt;td style=""width: 20%;""&gt;|||				{{ row.item_name }}|||				{% if row.item_code != row.item_name -%}|||				&lt;br&gt;Item Code: {{ row.item_code}}|||				{%- endif %}|||			&lt;/td&gt;|||			&lt;td style=""width: 37%;""&gt;|||				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;|||			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;|||			&lt;td style=""width: 15%; text-align: right;""&gt;{{|||				row.get_formatted(""rate"", doc) }}&lt;/td&gt;|||			&lt;td style=""width: 15%; text-align: right;""&gt;{{|||				row.get_formatted(""amount"", doc) }}&lt;/td&gt;|||		&lt;/tr&gt;|||		{%- endfor -%}|||	&lt;/tbody&gt;|||&lt;/table&gt;</code></pre>|||<hr>|||<h4>Common Functions</h4>|||<table class=""table table-bordered"">|||	<tbody>|||		<tr>|||			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>|||			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>|||		</tr>|||		<tr>|||			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>|||			<td>Get value from another document.</td>|||		</tr>|||	</tbody>|||</table>|||","<h3>Ajuda sobre formatos de impressão</h3>|||<hr>|||<h4>Introdução</h4>|||<p>Os formatos de impressão são renderizados no lado do servidor usando a Jinja Templating Language. Todos os formulários têm acesso ao objeto <code>doc</code> que contém informações sobre o documento que está sendo formatado. Você também pode acessar utilitários comuns através do módulo <code>frappe</code>.</p>|||<p>Para estilização, a estrutura Boostrap CSS é fornecida e você pode aproveitar toda a gama de classes.</p>|||<hr>|||<h4>Referências</h4>|||<ol>|||	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Linguagem de modelagem Jinja</a></li>|||	<li><a href=""http://getbootstrap.com"" target=""_blank"">Estrutura CSS Bootstrap</a></li>|||</ol>|||<hr>|||<h4>Exemplo</h4>|||<pre><code>&lt;h3&gt;{{ doc.select_print_heading ou ""Invoice"" }}&lt;/h3&gt;|||&lt;div class=""linha""&gt;|||	&lt;div class=""col-md-3 text-right""&gt;Nome do cliente&lt;/div&gt;|||	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;|||&lt;/div&gt;|||&lt;div class=""row""&gt;|||	&lt;div class=""col-md-3 text-right""&gt;Data&lt;/div&gt;|||	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;|||&lt;/div&gt;|||&lt;table class=""table table-bordered""&gt;|||	&lt;corpo&gt;|||		&lt;tr&gt;|||			&lt;th&gt;Sr&lt;/th&gt;|||			&lt;th&gt;Nome do item&lt;/th&gt;|||			&lt;th&gt;Descrição&lt;/th&gt;|||			&lt;th class=""text-right""&gt;Qtd&lt;/th&gt;|||			&lt;th class=""text-right""&gt;Avaliação&lt;/th&gt;|||			&lt;th class=""text-right""&gt;Valor&lt;/th&gt;|||		&lt;/tr&gt;|||		{%- para linha em doc.items -%}|||		&lt;tr&gt;|||			&lt;td style=""largura: 3%;""&gt;{{ row.idx }}&lt;/td&gt;|||			&lt;td style=""largura: 20%;""&gt;|||				{{ row.item_name }}|||				{% if row.item_code != row.item_name -%}|||				&lt;br&gt;Código do item: {{ row.item_code}}|||				{%-endif %}|||			&lt;/td&gt;|||			&lt;td style=""largura: 37%;""&gt;|||				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;|||			&lt;td style=""largura: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom ou row.stock_uom }}&lt;/td&gt;|||			&lt;td style=""largura: 15%; alinhamento de texto: direita;""&gt;{{|||				row.get_formatted(""taxa"", doc) }}&lt;/td&gt;|||			&lt;td style=""largura: 15%; alinhamento de texto: direita;""&gt;{{|||				row.get_formatted(""quantia"", doc) }}&lt;/td&gt;|||		&lt;/tr&gt;|||		{%-endfor -%}|||	&lt;/tbody&gt;|||&lt;/table&gt;</code></pre>|||<hr>|||<h4>Funções comuns</h4>|||<table class=""table table-bordered"">|||	<corpo>|||		<tr>|||			<td style=""largura: 30%;""><code>doc.get_formatted(""[nomedocampo]"", [parent_doc])</code></td>|||			<td>Obtenha o valor do documento formatado como Data, Moeda, etc. Passe o pai <code>doc</code> para campos de tipo de moeda.</td>|||		</tr>|||		<tr>|||			<td style=""largura: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[nome]"", ""nome do campo"")</code></td>|||			<td>Obter valor de outro documento.</td>|||		</tr>|||	</tbody>|||</table>|||"
"<h4>Default Template</h4>|||<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>|||<pre><code>{{ address_line1 }}&lt;br&gt;|||{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}|||{{ city }}&lt;br&gt;|||{% if state %}{{ state }}&lt;br&gt;{% endif -%}|||{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}|||{{ country }}&lt;br&gt;|||{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}|||{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}|||{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}|||</code></pre>","<h4>Modelo padrão</h4>|||<p>Usa <a href=""http://jinja.pocoo.org/docs/templates/"">Modelo Jinja</a> e todos os campos de endereço (incluindo campos personalizados, se houver) estarão disponíveis</p>|||<pre><code>{{ address_line1 }}&lt;br&gt;|||{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}|||{{ cidade }}&lt;br&gt;|||{% if state %}{{ state }}&lt;br&gt;{% endif -%}|||{% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%}|||{{ país }}&lt;br&gt;|||{% if phone %}Telefone: {{ phone }}&lt;br&gt;{% endif -%}|||{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}|||{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}|||</code></pre>"
"<h4>Email Reply Example</h4>||||||<pre>Order Overdue||||||Transaction {{ name }} has exceeded Due Date. Please take necessary action.||||||Details||||||- Customer: {{ customer }}|||- Amount: {{ grand_total }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>|||","<h4>Exemplo de resposta de Email</h4>||||||<pre>Pedido vencido||||||A transação {{ name }} excedeu a data de vencimento. Por favor, tome as medidas necessárias.||||||Detalhes||||||- Cliente: {{ cliente }}|||- Valor: {{ grand_total }}|||</pre>||||||<h4>Como obter nomes de campo</h4>|||||<p>Os nomes de campo que você pode usar em seu modelo de Email são os campos no documento do qual você está enviando o Email. Você pode descobrir os campos de qualquer documento em Configuração &gt; Personalize a visualização do formulário e selecione o tipo de documento (por exemplo, fatura de vendas)</p>||||||<h4>Modelos</h4>||||||<p>Os modelos são compilados usando a linguagem de modelos Jinja. Para saber mais sobre o Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">leia esta documentação.</a></p>|||"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Ou</h5>"
<h5>Message Example</h5>||||||<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;||||||&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;||||||&lt;!-- show last comment --&gt;|||{% if comments %}|||Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}|||{% endif %}||||||&lt;h4&gt;Details&lt;/h4&gt;||||||&lt;ul&gt;|||&lt;li&gt;Customer: {{ doc.customer }}|||&lt;li&gt;Amount: {{ doc.grand_total }}|||&lt;/ul&gt;|||</pre>,"<h5>Exemplo de mensagem</h5>||||||<pre>&lt;h3&gt;Pedido vencido&lt;/h3&gt;||||||&lt;p&gt;A transação {{ doc.name }} excedeu a data de vencimento. Por favor, tome as medidas necessárias.&lt;/p&gt;||||||&lt;!-- mostrar último comentário --&gt;|||{% if comments %}|||Último comentário: {{ comments[-1].comment }} por {{ comments[-1].by }}|||{% endif %}||||||&lt;h4&gt;Detalhes&lt;/h4&gt;||||||&lt;ul&gt;|||&lt;li&gt;Cliente: {{ doc.customer }}|||&lt;li&gt;Valor: {{ doc.grand_total }}|||&lt;/ul&gt;|||</pre>"
"<p><strong>Condition Examples:</strong></p>|||<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</code></pre>|||","<p><strong>Exemplos de condições:</strong></p>|||<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</code></pre>|||"
"<p><strong>Condition Examples:</strong></p>|||<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pre>","<p><strong>Exemplos de condições:</strong></p>|||<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pré>"
<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>|||<p>If you create a separate webform every year to capture feedback from employees add a ||| field named year in doctype and add a filter <b>year = 2023</b></p>|||,"<p>Vários webforms podem ser criados para um único tipo de documento. Adicione filtros específicos a este formulário web para exibir o registro correto após o envio.</p><p>Por exemplo:</p>|||<p>Se você criar um formulário web separado a cada ano para capturar feedback dos funcionários, adicione um ||| campo chamado ano em doctype e adicione um filtro <b>ano = 2023</b></p>|||"
"<p>Set context before rendering a template. Example:</p><p>|||</p><div><pre><code>|||context.project = frappe.get_doc(""Project"", frappe.form_dict.name)|||</code></pre></div>","<p>Defina o contexto antes de renderizar um modelo. Exemplo:</p><p>|||</p><div><pre><code>|||context.project = frappe.get_doc(""Projeto"", frappe.form_dict.name)|||</code></pre></div>"
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default|||let some_class_element = root_element.querySelector('.some-class');|||some_class_element.textContent = ""New content"";|||</code></pre>","<p>Para interagir com o HTML acima, você terá que usar `root_element` como seletor pai.</p><p>Por exemplo:</p><pre class=""p-3 bg-gray-100 border-radius round-sm mb-0"" style=""width: fit-content;""><code>// aqui root_element é fornecido por padrão|||let some_class_element = root_element.querySelector('.some-class');|||some_class_element.textContent = ""Novo conteúdo"";|||</code></pre>"
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>Seu segredo OTP em {0} foi redefinido. Se você não executou essa redefinição e não a solicitou, entre em contato com o administrador do sistema imediatamente.</p>"
<pre>*  *  *  *  *|||‚î¨  ‚î¨  ‚î¨  ‚î¨  ‚î¨|||‚îÇ  ‚îÇ  ‚îÇ  ‚îÇ  ‚îÇ|||‚îÇ  ‚îÇ  ‚îÇ  ‚îÇ  ‚îî day of week (0 - 6) (0 is Sunday)|||‚îÇ  ‚îÇ  ‚îÇ  ‚îî‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ month (1 - 12)|||‚îÇ  ‚îÇ  ‚îî‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ day of month (1 - 31)|||‚îÇ  ‚îî‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ hour (0 - 23)|||‚îî‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ minute (0 - 59)||||||---||||||* - Any value|||/ - Step values|||</pre>|||,<pré>* * * * *|||‚î¨ ‚î¨ ‚î¨ ‚î¨ ‚î¨|||‚îÇ ‚îÇ ‚îÇ ‚îÇ ‚îÇ|||‚îÇ ‚îÇ ‚îÇ ‚îÇ ‚îî dia da semana (0 - 6) (0 é domingo)|||‚îÇ ‚îÇ ‚îÇ ‚îî‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ mês (1 - 12)|||‚îÇ ‚îÇ dia do mês (1 - 31) hora (0 - 23)|||‚îî‚îä‚îä‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚îÄ‚î‚îÄ‚îÄ minutos (0 - 59)||||||---||||||* - Qualquer valor|||/ - Valores da etapa|||</pre>|||
"<pre><code>doc.grand_total &gt; 0</code></pre>||||||<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>|||<p>Allowed functions:|||</p><ul>|||<li>frappe.db.get_value</li>|||<li>frappe.db.get_list</li>|||<li>frappe.session</li>|||<li>frappe.utils.now_datetime</li>|||<li>frappe.utils.get_datetime</li>|||<li>frappe.utils.add_to_date</li>|||<li>frappe.utils.now</li>|||</ul>|||<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>||||||<p>As condições devem ser escritas em Python simples. Use propriedades disponíveis apenas no formulário.</p>|||<p>Permitido funções:|||</p><ul>|||<li>frappe.db.get_value</li>|||<li>frappe.db.get_list</li>|||<li>frappe.session</li>|||<li>frappe.utils.now_da tetime</li>|||<li>frappe.utils.get_datetime</li>|||<li>frappe.utils.add_to_date</li>|||<li>frappe.utils.now</li>|||</ul>|||<p>Exemplo: </p><pre><code>doc.creation&gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), dias=-5, as_string=True, as_datetime=True) </code></pre><p></p>"
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>Aviso:</strong> Este campo é gerado pelo sistema e pode ser substituído por uma atualização futura. Modifique-o usando {0}.
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","O nome de um DocType deve começar com uma letra e só pode consistir em letras, números, espaços, sublinhados e hífens"
"A Frappe Framework instance can function as an OAuth Client, Resource, or Authorization server. This DocType contains settings related to all three.","Uma instância do Frappe Framework pode funcionar como um cliente, recurso ou servidor de autorização OAuth. Este DocType contém configurações relacionadas a todos os três."
A field with the name {0} already exists in {1},Já existe um campo com o nome {0} em {1}
A file with same name {} already exists,Já existe um arquivo com o mesmo nome {}
A new account has been created for you at {0},Uma nova conta foi criada para você em {0}
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Um {0} {1} recorrente foi criado para você por meio da repetição automática {2}.
A template already exists for field {0} of {1},Já existe um modelo para o campo {0} de {1}
A version identifier string for the client software.|||<br>|||The value of the should change on any update of the client software with the same Software ID.,Uma string de identificador de versão para o software cliente.|||<br>|||O valor de deve mudar em qualquer atualização do software cliente com o mesmo ID de software.
A word by itself is easy to guess.,Uma palavra por si só é fácil de adivinhar.
A0,A0
A1,A1
A2,A2
A3,A3
A4,A4
A5,A5
A6,A6
A7,A7
A8,A8
A9,A9
API,API
API Endpoint Args should be valid JSON,API Endpoint Args deve ser JSON válido
API Keys,Chaves de API
API Logging,Registro de API
API Request Log,Registro de solicitação de API
About,Sobre
About Us,Sobre nós
About Us Settings,Sobre nós Configurações
About Us Team Member,Sobre nós Membro da equipe
About {0} minute remaining,Cerca de {0} minutos restantes
About {0} minutes remaining,Cerca de {0} minutos restantes
About {0} seconds remaining,Cerca de {0} segundos restantes
Access Control,Controle de acesso
Access Log,Registro de acesso
Access Token,Token de acesso
Access Token URL,URL do token de acesso
Access not allowed from this IP Address,Acesso não permitido a partir deste endereço IP
Account,Conta
Accounts Manager,Gerente de contas
Accounts User,Usuário de contas
"Accurate count can not be fetched, click here to view all documents","A contagem precisa não pode ser obtida, clique aqui para ver todos os documentos"
Action,Ação
Action Complete,Ação concluída
Action Failed,Falha na ação
Action Type,Tipo de ação
Action {0} completed successfully on {1} {2}. View it {3},Ação {0} concluída com êxito em {1} {2}. Veja {3}
Action {0} failed on {1} {2}. View it {3},A ação {0} falhou em {1} {2}. Veja {3}
Actions,Ações
Activate,Ativar
Active,Ativo
Active Sessions,Sessões ativas
Activity,Atividade
Activity Log,Registro de atividades
Add,Adicionar
Add / Remove Columns,Adicionar/remover colunas
Add / Update,Adicionar/Atualizar
Add A New Rule,Adicionar uma nova regra
Add Attachment,Adicionar anexo
Add CSS,Adicionar CSS
Add Card to Dashboard,Adicionar cartão ao painel
Add Chart to Dashboard,Adicionar gráfico ao painel
Add Child,Adicionar filho
Add Contact,Adicionar contato
Add Contacts,Adicionar contatos
Add Custom Tags,Adicionar tags personalizadas
Add Filters,Adicionar filtros
Add Group,Adicionar grupo
Add Indexes,Adicionar índices
Add New,Adicionar novo
Add New Permission Rule,Adicionar nova regra de permissão
Add Participants,Adicionar participantes
Add Reply-To header,Adicionar cabeçalho Responder para
Add Roles,Adicionar funções
Add Signature,Adicionar assinatura
Add Space at Bottom,Adicionar espaço na parte inferior
Add Subscribers,Adicionar assinantes
Add Tags,Adicionar tags
Add Template,Adicionar modelo
Add User Permissions,Adicionar permissões de usuário
Add Video Conferencing,Adicionar videoconferência
Add X-Original-From header,Adicionar cabeçalho X-Original-From
Add a Filter,Adicionar um filtro
Add a New Role,Adicionar uma nova função
Add a Row,Adicionar uma linha
Add a comment,Adicione um comentário
Add a new section,Adicionar uma nova seção
Add a row above the current row,Adicione uma linha acima da linha atual
Add a row at the bottom,Adicione uma linha na parte inferior
Add a row at the top,Adicione uma linha no topo
Add a row below the current row,Adicione uma linha abaixo da linha atual
Add a {0} Chart,Adicionar um gráfico {0}
Add column,Adicionar coluna
Add field,Adicionar campo
Add multiple,Adicionar vários
Add new tab,Adicionar nova guia
Add numbers or special characters.,Adicione números ou caracteres especiais.
Add page break,Adicionar quebra de página
Add row,Adicionar linha
Add script for Child Table,Adicionar script para tabela filho
Add section above,Adicionar seção acima
Add section below,Adicionar seção abaixo
Add tab,Adicionar guia
Add to Dashboard,Adicionar ao painel
Add to Desktop,Adicionar à área de trabalho
Add to ToDo,Adicionar à tarefa
Add to table,Adicionar à tabela
